,month,origin_country,predicted_label
0,2022-02,Canada,80
1,2022-02,China,226
2,2022-02,France,145
3,2022-02,Germany,176
4,2022-02,India,50
5,2022-02,Italy,94
6,2022-02,Japan,42
7,2022-02,Saudi Arabia,10
8,2022-02,South Korea,29
9,2022-02,Spain,33
10,2022-02,Turkey,35
11,2022-02,United Kingdom,212
12,2022-02,United States of America,249
13,2022-03,Canada,82
14,2022-03,China,482
15,2022-03,France,250
16,2022-03,Germany,243
17,2022-03,India,92
18,2022-03,Italy,113
19,2022-03,Japan,74
20,2022-03,Saudi Arabia,48
21,2022-03,South Korea,25
22,2022-03,Spain,40
23,2022-03,Turkey,75
24,2022-03,United Kingdom,343
25,2022-03,United States of America,535
26,2022-04,Canada,32
27,2022-04,China,214
28,2022-04,France,138
29,2022-04,Germany,157
30,2022-04,India,52
31,2022-04,Italy,62
32,2022-04,Japan,20
33,2022-04,Saudi Arabia,13
34,2022-04,South Korea,10
35,2022-04,Spain,50
36,2022-04,Turkey,28
37,2022-04,United Kingdom,170
38,2022-04,United States of America,252
39,2022-05,Canada,30
40,2022-05,China,142
41,2022-05,France,67
42,2022-05,Germany,87
43,2022-05,India,15
44,2022-05,Italy,41
45,2022-05,Japan,25
46,2022-05,Saudi Arabia,0
47,2022-05,South Korea,14
48,2022-05,Spain,19
49,2022-05,Turkey,29
50,2022-05,United Kingdom,118
51,2022-05,United States of America,169
52,2022-06,Canada,27
53,2022-06,China,140
54,2022-06,France,123
55,2022-06,Germany,106
56,2022-06,India,19
57,2022-06,Italy,56
58,2022-06,Japan,47
59,2022-06,Saudi Arabia,5
60,2022-06,South Korea,12
61,2022-06,Spain,76
62,2022-06,Turkey,39
63,2022-06,United Kingdom,101
64,2022-06,United States of America,138
65,2022-07,Canada,11
66,2022-07,China,97
67,2022-07,France,43
68,2022-07,Germany,16
69,2022-07,India,26
70,2022-07,Italy,5
71,2022-07,Japan,20
72,2022-07,Saudi Arabia,17
73,2022-07,South Korea,11
74,2022-07,Spain,12
75,2022-07,Turkey,28
76,2022-07,United Kingdom,78
77,2022-07,United States of America,87
78,2022-08,Canada,9
79,2022-08,China,77
80,2022-08,France,45
