source,year_month,article_count
bbc,2022-02,299
bbc,2022-03,1337
bbc,2022-04,667
bbc,2022-05,496
bbc,2022-06,448
bbc,2022-07,506
bbc,2022-08,408
bbc,2022-09,528
bbc,2022-10,570
bbc,2022-11,497
bbc,2022-12,405
bbc,2023-01,284
bbc,2023-02,271
bbc,2023-03,283
bbc,2023-04,215
bbc,2023-05,261
bbc,2023-06,238
bbc,2023-07,223
bbc,2023-08,228
bbc,2023-09,203
bbc,2023-10,165
bbc,2023-11,154
bbc,2023-12,191
bbc,2024-01,174
bbc,2024-02,316
bbc,2024-03,191
bbc,2024-04,167
bbc,2024-05,69
bbc,2024-06,3
bbc,2024-07,1
bbc,2024-09,1
bbc,2024-10,1
cnn,2022-02,298
cnn,2022-03,1083
cnn,2022-04,552
cnn,2022-05,467
cnn,2022-06,377
cnn,2022-07,311
cnn,2022-08,284
cnn,2022-09,356
cnn,2022-10,351
cnn,2022-11,277
cnn,2022-12,291
cnn,2023-01,275
cnn,2023-02,283
cnn,2023-03,306
cnn,2023-04,241
cnn,2023-05,261
cnn,2023-06,231
cnn,2023-07,223
cnn,2023-08,199
cnn,2023-09,310
cnn,2023-10,160
cnn,2023-11,7
cnn,2023-12,9
cnn,2024-01,8
cnn,2024-02,6
cnn,2024-03,8
cnn,2024-04,7
cnn,2024-05,10
cnn,2024-06,9
cnn,2024-07,6
cnn,2024-08,31
cnn,2024-09,150
cnn,2024-10,130
cnn,2024-11,84
guardian,2022-02,885
guardian,2022-03,3426
guardian,2022-04,1846
guardian,2022-05,1494
guardian,2022-06,1390
guardian,2022-07,1143
guardian,2022-08,1021
guardian,2022-09,1274
guardian,2022-10,1210
guardian,2022-11,1260
guardian,2022-12,958
guardian,2023-01,857
guardian,2023-02,1055
guardian,2023-03,991
guardian,2023-04,782
guardian,2023-05,939
guardian,2023-06,962
guardian,2023-07,837
guardian,2023-08,768
guardian,2023-09,913
guardian,2023-10,890
guardian,2023-11,699
guardian,2023-12,726
guardian,2024-01,737
guardian,2024-02,904
guardian,2024-03,838
guardian,2024-04,732
guardian,2024-05,804
guardian,2024-06,830
guardian,2024-07,740
guardian,2024-08,655
guardian,2024-09,695
guardian,2024-10,618
guardian,2024-11,415
rt,2022-07,129
rt,2022-08,145
rt,2022-09,110
rt,2022-10,138
rt,2022-11,125
rt,2022-12,194
rt,2023-01,704
rt,2023-02,685
rt,2023-03,704
rt,2023-04,724
rt,2023-05,784
rt,2023-06,827
rt,2023-07,772
rt,2023-08,735
rt,2023-09,785
rt,2023-10,613
rt,2023-11,638
rt,2023-12,834
rt,2024-01,698
rt,2024-02,795
rt,2024-03,839
rt,2024-04,705
rt,2024-05,765
rt,2024-06,755
rt,2024-07,604
rt,2024-08,627
rt,2024-09,623
rt,2024-10,659
rt,2024-11,176
nyt,2022-02,825
nyt,2022-03,2838
nyt,2022-04,1817
nyt,2022-05,1536
nyt,2022-06,1385
nyt,2022-07,1374
nyt,2022-08,1246
nyt,2022-09,1422
nyt,2022-10,1349
nyt,2022-11,1080
nyt,2022-12,1043
nyt,2023-01,922
nyt,2023-02,906
nyt,2023-03,1050
nyt,2023-04,983
nyt,2023-05,935
nyt,2023-06,748
nyt,2023-07,504
nyt,2023-08,458
nyt,2023-09,461
nyt,2023-10,400
nyt,2023-11,334
nyt,2023-12,395
nyt,2024-01,327
nyt,2024-02,485
nyt,2024-03,410
nyt,2024-04,374
nyt,2024-05,446
nyt,2024-06,405
nyt,2024-07,371
nyt,2024-08,394
nyt,2024-09,388
nyt,2024-10,421
nyt,2024-11,120
